State,program,PYC,id,procedure,function,DOSPUNTOS,var,boolean,integer,string,PARENT_ABRIR,PARENT_CERRAR,if,then,begin,end,else,while,do,repeat,until,loop,for,ASIGNACION,to,case,of,entero,otherwise,write,writeln,read,return,exit,when,COMA,or,xor,and,IGUAL,DISTINTO,MAYOR,MAYOR_IGUAL,MENOR,MENOR_IGUAL,MAS,MENOS,PRODUCTO,DIVISION,mod,POTENCIA,not,cadena,true,false,in,max,min,$,P,M1,D,R,PP,PF,PR,PPid,M2,Bloque,Pid,PRidA,A,PFidAT,T,DD,X,AA,C,B,EE,S,E,THEN,M3,FOR,EXP,N,O,VALOR,LL,V,Y,L,Q,W,F,G,H,I,J,K,Z,FIN
189,,,,,,,,,,,,r57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
190,,,s94,,,,,,,,s95,,,,,,,,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,s87,s88,,,,,s86,s91,s92,s93,,s96,s97,,,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,80,81,82,83,84,85,89,%
191,,s211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
192,,,,,,,,,,,,r60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
193,,,s212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
194,,,r51,,,,,,,,,,r51,,,r51,,r51,,r51,r51,r51,r51,,,r51,,,,r51,r51,r51,r51,r51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
195,,,r54,,,,,,,,,,r54,,,r54,,r54,,r54,r54,r54,r54,,,r54,,,,r54,r54,r54,r54,r54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
196,,,,,,,,,,,,,,,,,,,,,,,,,s213,,,,,,,,,,,,s119,s120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
197,,,,,,s214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
198,,,r32,,,,,,,,,,r32,,,r32,r34,r32,,r32,r32,r32,r32,,,r32,,,,r32,r32,r32,r32,r32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
199,,,r33,,,,,,,,,,r33,,,r33,,r33,,r33,r33,r33,r33,,,r33,,,,r33,r33,r33,r33,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
200,,,,,,,,,,,,s215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
201,,r97,,,,,,,,,,r97,,r97,,,,,r97,,,,,,r97,,r97,,,,,,,,,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,r97,,,,,r97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
202,,r98,,,,,,,,,,r98,,r98,,,,,r98,,,,,,r98,,r98,,,,,,,,,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,r98,,,,,r98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
203,,s216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
204,,s217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s119,s120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
205,,,r38,,,,,,,,,,r38,,,r38,,r38,,r38,r38,r38,r38,,,r38,,,,r38,r38,r38,r38,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
206,,,,,,,,,,,,,,,,s218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
207,,,,,,s219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
208,,,,,,s220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
209,,,,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
210,,,,,,,,,,,,r59,,,,,,,,,,,,,,,,,,,,,,,,s190,s119,s120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,,,,,,,,,%
211,,,r50,,,,,,,,,,r50,,,r50,,r50,,r50,r50,r50,r50,,,r50,,,,r50,r50,r50,r50,r50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
212,,,,,,,,,,,,r62,,,,,,,,,,,,,,,,,,,,,,,,s193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,,,,,,,,%
213,,,s94,,,,,,,,s95,,,,,,,,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,s87,s88,,,,,s86,s91,s92,s93,,s96,s97,,,,,,,,,,,,,,,,,,,,,,,,223,,,,,,,,,,,,,,80,81,82,83,84,85,89,%
214,,,,,,,,s31,s32,s33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
215,,r96,,,,,,,,,,r96,,r96,,,,,r96,,,,,,r96,,r96,,,,,,,,,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,r96,,,,,r96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
