State,program,PYC,id,procedure,function,DOSPUNTOS,var,boolean,integer,string,PARENT_ABRIR,PARENT_CERRAR,if,then,begin,end,else,while,do,repeat,until,loop,for,ASIGNACION,to,case,of,entero,otherwise,write,writeln,read,return,exit,when,COMA,or,xor,and,IGUAL,DISTINTO,MAYOR,MAYOR_IGUAL,MENOR,MENOR_IGUAL,MAS,MENOS,PRODUCTO,DIVISION,mod,POTENCIA,not,cadena,true,false,in,max,min,$,P,M1,D,R,PP,PF,PR,PPid,M2,Bloque,Pid,PRidA,A,PFidAT,T,DD,X,AA,C,B,EE,S,E,THEN,M3,FOR,EXP,N,O,VALOR,LL,V,Y,L,Q,W,F,G,H,I,J,K,Z,FIN
128,,,s94,,,,,,,,s95,,,,,,,,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,s87,s88,,,,,s86,s91,s92,s93,,s96,s97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,84,85,89,%
129,,,s94,,,,,,,,s95,,,,,,,,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,s87,s88,,,,,s86,s91,s92,s93,,s96,s97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,84,85,89,%
130,,,s94,,,,,,,,s95,,,,,,,,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,s87,s88,,,,,s86,s91,s92,s93,,s96,s97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,85,89,%
131,,,s94,,,,,,,,s95,,,,,,,,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,s87,s88,,,,,s86,s91,s92,s93,,s96,s97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,85,89,%
132,,,s94,,,,,,,,s95,,,,,,,,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,s87,s88,,,,,s86,s91,s92,s93,,s96,s97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,85,89,%
133,,,s94,,,,,,,,s95,,,,,,,,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,s87,s88,,,,,s86,s91,s92,s93,,s96,s97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,89,%
134,,r86,,,,,,,,,,r86,,r86,,,,,r86,,,,,,r86,,r86,,,,,,,,,r86,r86,r86,r86,r86,r86,r86,r86,r86,r86,r86,r86,r86,r86,r86,r86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
135,,r87,,,,,,,,,,r87,,r87,,,,,r87,,,,,,r87,,r87,,,,,,,,,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,r87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
136,,r88,,,,,,,,,,r88,,r88,,,,,r88,,,,,,r88,,r88,,,,,,,,,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
137,,,,,,,,,,,s179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
138,,r94,,,,,,,,,,r94,,r94,,,,,r94,,,,,,r94,,r94,,,,,,,,,r94,r94,r94,r94,r94,r94,r94,r94,r94,r94,r94,r94,r94,r94,r94,r94,,,,,r94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
139,,,,,,,,,,,,s180,,,,,,,,,,,,,,,,,,,,,,,,,s119,s120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
140,,,s94,,,,,,,,s95,,,,,,,,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,s87,s88,,,,,s86,s91,s92,s93,,s96,s97,,,,,,,,,,,,,,,,,,,,,,,,149,,,,,,,,,,,181,,,80,81,82,83,84,85,89,%
141,,,s94,,,,,,,,s95,,,,,,,,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,s87,s88,,,,,s86,s91,s92,s93,,s96,s97,,,,,,,,,,,,,,,,,,,,,,,,149,,,,,,,,,,,182,,,80,81,82,83,84,85,89,%
142,,,,,,,,,,,,,,,,,,,s183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
143,,,,,,,,,,,,,,,,,,,,,s184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
144,,,,,,,,,,,,,,,,s185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
145,,s186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
146,,,,,,,,,,,,,,,,r45,,,,,,,,,,,,r45,r45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,,,,,,,,,,,,,,,,%
147,,,r48,,,,,,,,,,r48,,,r48,,r48,,r48,r48,r48,r48,,,r48,,,,r48,r48,r48,r48,r48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
148,,,,,,,,,,,,s188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
149,,,,,,,,,,,,r59,,,,,,,,,,,,,,,,,,,,,,,,s190,s119,s120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,,,,,,,,,%
150,,,r49,,,,,,,,,,r49,,,r49,,r49,,r49,r49,r49,r49,,,r49,,,,r49,r49,r49,r49,r49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
151,,,,,,,,,,,,s191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
152,,,,,,,,,,,,r62,,,,,,,,,,,,,,,,,,,,,,,,s193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,,,,,,,,%
153,,s194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s119,s120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
154,,,r52,,,,,,,,,,r52,,,r52,,r52,,r52,r52,r52,r52,,,r52,,,,r52,r52,r52,r52,r52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
155,,,r53,,,,,,,,,,r53,,,r53,,r53,,r53,r53,r53,r53,,,r53,,,,r53,r53,r53,r53,r53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
156,,s195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s119,s120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
157,,,s94,,,,,,,,s95,,,,,,,,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,s87,s88,,,,,s86,s91,s92,s93,,s96,s97,,,,,,,,,,,,,,,,,,,,,,,,196,,,,,,,,,,,,,,80,81,82,83,84,85,89,%
